Vocabulary List
-----------------------------
1. Zealous - उत्साही  Ans. Enthusiastic
551. Peculiar - विचित्र  Ans. Unusual
552. Contrary - विपरीत  Ans. Opposite
553. Portray - चित्र बनाना  Ans. Depict
554. Cogent - निर्णायक  Ans. Rational
555. Pester - तंग करना  Ans. Annoy
556. Abridge - संक्षेप करना  Ans. Shorten
557. Mirage - मृगतृष्णा  Ans. Illusion
558. Optimal - सर्वोत्तम  Ans. Best
559. Obsequious - खुशामदी  Ans. Law-abiding
560. Unlucky - अशुभ  Ans. Hapless
561. Permit - अनुमति  Ans. Grant
562. Revoke - रद्द करना  Ans. Repeal
563. Preposterous - निरर्थक  Ans. Outrageous
564. Promote - पदोन्नति करना  Ans. Boost
565. Accredit - मान्यता देना  Ans. Certify
566. Conjure - जादू करना  Ans. Appeal
567. Profit - लाभ  Ans. Benefit
568. Quandary - घबड़ाहट  Ans. Dilemma
569. Reason - कारण  Ans. Logic
570. Rebellious - बागी  Ans. Unruly
571. Reputation - प्रतिष्ठा  Ans. Prestige
572. Indignation - रोष  Ans. Offense
573. Bonhomie - खुशमिजाजी  Ans. Friendship
574. Partisan - पक्षपाती  Ans. Biased
575. Gourmet - पेटू  Ans. Epicure
576. Daunted - भयभीत करना  Ans. Intimidated
577. Stamped - टिकट  Ans. Imprinted
578. Cornucopia - धन का भंडार  Ans. Treasure trove
579. Obliterate - मिटा देना  Ans. Abolish
580. Chaos - अराजकता  Ans. Disarray
Pinnacle Synonyms And Antonyms
----------------------------------------------------
581. Abandon - छोड़ना  Ans. Leave
582. Incumbent - कतिभाव  Ans. Occupant
583. Fictitious - काल्पनिक  Ans. Imaginary
584. Blink - पलक मारना  Ans. Flicker
585. Dismal - निराशाजनक  Ans. Gloomy
586. Alacrity - उत्साह  Ans. Willingness
587. Compunction - पछतावा  Ans. Scruples
588. Abnegation - आत्मत्याग  Ans. Renouncement
589. Embellish - सजाना  Ans. Decorate
590. Evince - प्रकट करना  Ans. Show
591. Corroborate - समर्थन करना  Ans. Confirm
592. Vindicate - दोषमुक्त करना  Ans. Exonerate
593. Tenacious - दृढ़  Ans. Persistent
594. Sybarite - विलासी  Ans. Debauchee
595. Demolish - नष्ट करना  Ans. Raze
596. Humble - विनम्र  Ans. Modest
597. Occlude - रोक देना  Ans. Obstruct
598. Malign - बदनाम करना  Ans. Besmirch
599. Random - अनियमित  Ans. Chance
600. Modest - मामूली  Ans. Humble
601. Segregate - अलग करना  Ans. Isolate
602. Obtrusive - ध्यान आकर्षित करने वाला  Ans. Prominent
603. Eccentric - अजीब  Ans. Bizarre
604. Plausible - विश्वसनीय  Ans. Credible
605. Gloomy - उदास  Ans. Depressing
606. Critically - गंभीरता से  Ans. Severely
607. Advent - आगमन  Ans. Arrival
608. Merry - आनंदित  Ans. Happy
609. Callous - कठोर  Ans. Brutal
610. Caustic - तीखा  Ans. Acidic
611. Generic - सामान्य  Ans. General
612. Intervene - हस्तक्षेप करना  Ans. Arbitrate
613. Sinister - भयावह  Ans. Evil
614. Concede - स्वीकार करना  Ans. Permit
615. Protest - विरोध करना  Ans. Resist
616. Deficient - अपूर्ण  Ans. Incomplete
617. Provoke - उकसाना  Ans. Arouse
618. Exaggerated - अतिशयोक्तिपूर्ण  Ans. Magnified
619. Innate - जन्मजात  Ans. Inherent
620. Dissolve - भंग करना  Ans. Fade
621. Banish - निष्कासित करना  Ans. Exile
622. Enforced - लागू करना  Ans. Imposed
623. Intricate - जटिल  Ans. Complicated
624. Extravagantly - असाधारण रूप से  Ans. Expensively
625. Hurdle - बाधा  Ans. Impediment
626. Laborious - मेहनती  Ans. Assiduous
627. Grieve - शोक करना  Ans. Mourn
628. Alleviate - कम करना  Ans. Relieve
629. Probe - जांच करना  Ans. Search
630. Clandestine - गुप्त  Ans. Undercover
631. Pleasant - सुखद  Ans. Delightful
632. Vivacious - चंचल  Ans. Sparky
633. Imbecile - मूर्ख  Ans. Dunce
634. Fatal - घातक  Ans. Deadly
635. Blunt - कुंद  Ans. Dull
636. Bulky - भारी  Ans. Massive
637. Maestro - महान कलाकार  Ans. Genius
638. Garnish - सजावट  Ans. Adornment
Pinnacle Synonyms And Antonyms
----------------------------------------------------
639. Uncanny - भयानक, रहस्यमय  Ans. Spooky
640. August - महान, प्रतिष्ठित  Ans. Eminent
641. Mandate - शासनादेश, अधिकार-पत्र  Ans. Command
642. Erring - पापी, बड़ी भूल  Ans. Blundering
643. Penniless - दरिद्र, निर्धन  Ans. Broke
644. Definite - निश्चित, एकदम सही  Ans. Precise
645. Proficient - कुशल, अनुभवी  Ans. Accomplished
646. Artful - कपटी, चालाक  Ans. Crafty
647. Tenderness - कोमलता, दयालुता  Ans. Kindness
648. Acute - तीव्र, घातक  Ans. Dire
649. Ardent - उत्साही, जज़्बाती  Ans. Passionate
650. Propitious - अनुकूल, सौभाग्यशाली  Ans. Auspicious
651. Sarcastic - व्यंग्यात्मक, कटाक्षपूर्ण  Ans. Caustic
652. Rebuke - डांट-फटकार, निंदा करना  Ans. Scold
653. Collaborate - सहयोग करना, मिलकर काम करना  Ans. Collude
654. Polished - निखरा हुआ, विनीत  Ans. Cultured
655. Bloom - खिलना, बहार आना  Ans. Flower
656. Vivid - स्पष्ट, चमकदार  Ans. Lucid
657. Confiscated - जप्त करना, पकड़ लेना  Ans. Seized
658. Satiate - संतुष्ट करना, पूरा करना  Ans. Satisfy
659. Enraged - क्रोधित, भड़कना  Ans. Furious
660. Flagrant - स्पष्ट, खुला  Ans. Atrocious
661. Slim - दुबला, पतला  Ans. Skinny
662. Sporadic - छिटपुट, अजीब  Ans. Infrequent
663. Unique - अद्वितीय, विशेष  Ans. Exclusive
664. Enthrall - मंत्रमुग्ध करना, दास बनाना  Ans. Captivate
665. Interfere - हस्तक्षेप करना, दखल देना  Ans. Restrict
666. Dapper - फुरतीला, साफ-सुथरा  Ans. Stylish
667. Culpable - दोषी, दंडनीय  Ans. Guilty
668. Appeased - संतोष करना, शांति प्रदान करना  Ans. Pacified
669. Revile - गाली देना, निंदा करना  Ans. Abuse
670. Fright - भय, डर  Ans. Dread
671. Eternity - अनंत काल, हमेशा  Ans. Forever
672. Perceptive - समझदार, अनुभवी  Ans. Astute
673. Scold - डांटना, फटकारना  Ans. Chide
674. Voracious - अत्यधिक लालची  Ans. Greedy
675. Impetus - प्रेरणा, उत्तेजना  Ans. Incitement
676. Reveal - प्रकट करना, उद्घाटन करना  Ans. Disclose
677. Hesitant - हिचकिचाना, अनिश्चय में होना  Ans. Reluctant
678. Vanquish - हराना, पराजित करना  Ans. Defeat
679. Bustle - हलचल, हड़बड़ी  Ans. Rush
680. Reliable - भरोसेमंद, विश्वसनीय  Ans. Dependable
681. Encourage - प्रोत्साहित करना, बढ़ावा देना  Ans. Stimulate
682. Emphatic - बलपूर्वक, दृढ़  Ans. Vigorous
683. Astute - चालाक, चतुर  Ans. Shrewd
684. Tidy - साफ, व्यवस्थित  Ans. Orderly
685. Expository - व्याख्यात्मक, वर्णनात्मक  Ans. Illustrative
686. Sparkling - चमकदार, शानदार  Ans. Gleaming
687. Delighted - प्रसन्न  Ans. Joyful
688. Imitate - नकल करना  Ans. Copy
689. Amble - टहलना  Ans. Wander
690. Benevolence - दया  Ans. Compassion
691. Renounce - त्याग देना  Ans. Forsake
692. Equivocal - अस्पष्ट, संदिग्ध  Ans. Ambiguous
693. Guile - छल, धोखा  Ans. Slyness
694. Cunning - चालाक  Ans. Slick
695. Abundant - प्रचुर, विपुल  Ans. Plentiful
696. Bafflement - उलझन  Ans. Confusion
697. Confront - सामना करना  Ans. Oppose
Pinnacle Synonyms And Antonyms
----------------------------------------------------
698. Perturbed - उषेिजत  Ans. Agitated
699. Perilous - खतरनाक  Ans. Dangerous
700. Serendipity - आकस्मिक लाभ  Ans. Godsend
701. Hated - घृणा  Ans. Loathed
702. Perilous - जोखिम भरा  Ans. Treacherous
703. Complements - पूरक, सहायक  Ans. Matches
704. Finicky - तुनुकमिजाज  Ans. Fussy
705. Inclined - तैयार  Ans. Motivated
706. Sanguinity - आशावादी  Ans. Optimism
707. Expended - थका हुआ  Ans. Exhausted
708. Vacant - खाली  Ans. Uninhabited
709. Disseminate - फैला देना  Ans. Circulate
710. Ecstasy - परम सुख  Ans. Bliss
711. Scared - डरा हुआ  Ans. Afraid
712. Assassinate - हत्या करना  Ans. Murder
713. Pace - गति  Ans. Speed
714. Decipher - समझना  Ans. Interpret
715. Startle - चौंकना  Ans. Surprise
716. Overture - पूर्व सूचना  Ans. Preamble
717. Credible - विश्वसनीय  Ans. Dependable
718. Reconnoitre - तलाश  Ans. Inspect
719. Rescind - रद्द कर देना  Ans. Revoke
720. Opulence - समृद्धि  Ans. Prosperity
721. Pertaining - से संबंधित  Ans. Referring
722. Incite - उकसाना  Ans. Inflame
723. Fleck - धब्बा  Ans. Spot
724. Arraign - दोषी ठहराना  Ans. Prosecute
725. Admire - प्रशंसा करना  Ans. Appreciate
726. Rampart - चारदीवारी  Ans. Bulwark
727. Vanity - अभिमान  Ans. Conceit
728. Profess - घोषित करना  Ans. Declare
729. Allay - पीड़ा हटाना  Ans. Relieve
730. Quaint - अनोखा  Ans. Queer
731. Pudgy - मोटा  Ans. Thick-bodied
732. Banter - हंसी उड़ाना  Ans. Repartee
733. Austere - कठोर  Ans. Stern
734. Salubrious - स्वास्थ्यवर्धक  Ans. Beneficial
735. Litigant - आवेदक  Ans. Petitioner
736. Boldness - बहादुरी  Ans. Bravery
737. Illogical - तकहीन  Ans. Absurd
738. Protract - बढ़ाना  Ans. Prolong
739. Startle - चौंकाना  Ans. Surprise
740. Divisive - पृथक करना  Ans. Alienating
741. Pleasing - सुखदायक  Ans. Gratifying
742. Stymie - बाधा पहुंचाना  Ans. Hinder
743. Hoarding - संचय करना  Ans. Piling Up
744. Greed - लोभ  Ans. Cupidity
745. Laconic - कम बोलने वाला  Ans. Concise
746. Resplendent - चमकीला  Ans. Magnificent
747. Excruciating - कष्टकारी  Ans. Piercing
748. Startlingly - आश्चर्यजनक रूप से  Ans. Amazingly
749. Utilitarian - उपयोग संबंधी  Ans. Functional
750. Abrogate - निरस्त करना  Ans. Repeal
751. Inevitable - अनिवार्य  Ans. Inescapable
752. Slender - कमजोर  Ans. Frail
753. Chastise - अनुशासन करना  Ans. Discipline
754. Bestial - क्रूर  Ans. Brutish
755. Robbed - लूटना  Ans. Plundered
756. Resolute - ठोस  Ans. Strong
757. Quintessential - सर्वोत्तम  Ans. Typical
758. Giddiness - अस्थिरता  Ans. Dizziness
Pinnacle Synonyms And Antonyms
----------------------------------------------------
759. Perverse - पथभ्रष्ट  Ans. Deviant
760. Deception - धोखा  Ans. Cunning
761. Benign - दयालु  Ans. Benevolent
762. Satiate - संतुष्ट करना  Ans. Satisfy
763. Savoury - नमकीन  Ans. Salty
764. Modest - विनम्र  Ans. Shy
765. Stupendous - शानदार  Ans. Stunning
766. Renounce - त्यागना  Ans. Abjure
767. Imprisonment - कैद करना  Ans. Incarceration
768. Exorcise - निर्वासन करना  Ans. Expel
769. Damage - हानि पहुंचाना  Ans. Afflict
770. Hapless - भाग्यहीन  Ans. Ill-fated
771. Affront - अपमान  Ans. Insult
772. Ravenous - भूखा  Ans. Esurient
773. Destitute - गरीब  Ans. Indigent
774. Pugnacious - झगड़ालू  Ans. Truculent
775. Eccentric - विचित्र  Ans. Queer
776. Ludicrous - मूर्खतापूर्ण  Ans. Crazy
777. Ostentatious - दिखावटी  Ans. Showy
778. Retaliate - बदला लेना  Ans. React
779. Avert - रोकथाम करना  Ans. Prevent
780. Taciturn -अप्रवासी  Ans. Reserved
781. Vertical - लम्बवत  Ans. Upright
782. Smooth - समतल  Ans. Flat
783. Imminent - अभी होने वाला  Ans. Impending
784. Duo - युगल  Ans. Pair
785. Paranoid - अविश्वासी  Ans. Distrustful
786. Fluke - आकस्मिक  Ans. Chance
787. Inscrutable - अकथनीय  Ans. Inexplicable
788. Urge - अनुरोध करना  Ans. Appeal
789. Lacuna - अंतराल, कमी  Ans. Hiatus
790. Solemn - गंभीर  Ans. Dignified
791. Succulent - रसीला  Ans. Juicy
792. Disrupt - भंग करना  Ans. Breach
793. Eventually - आखिरकार  Ans. Ultimately
794. Trendy - चलन में  Ans. Popular
795. Final - अंतिम  Ans. Concluding
796. Squawk - चीखना  Ans. Scream
797. Threshold - सीमा रेखा  Ans. Doorway
798. Perjury - असत्यता  Ans. Falsehood
799. Amass - इकट्ठा करना  Ans. Gather
800. Commute - परिवर्तित करना  Ans. Convert
801. Monotonous - उबाऊ  Ans. Boring
802. Abandon - त्यागना  Ans. Quit
803. Arid - सूखा  Ans. Dry
804. Tranquil - शांत  Ans. Calm
805. Saucy - गुस्ताख  Ans. Cheeky
806. Robust - मजबूत  Ans. Sturdy
807. Triumphant - विजयी  Ans. Victorious
808. Bare - नंगा  Ans. Basic
809. Ravenous - भूखा  Ans. Starved
810. Lull - चुप करना  Ans. Calm
811. Honest - निष्कपट  Ans. Sincere
812. Imbue - असर डालना  Ans. Instil
813. Livid - गुस्से में  Ans. Furious
814. Amusement - मनोरंजन  Ans. Pleasure
815. Retaliate - बदला लेना  Ans. React
816. Sagacious - समझदार  Ans. Judicious
817. Audacity - साहस  Ans. Daring
Pinnacle Synonyms And Antonyms
----------------------------------------------------
818. Implacable - निष्ठुर, कठोर  Ans. Relentless
819. Mitigate - कम करना, मंद करना  Ans. Alleviate
820. Envisage - कल्पना करना, विचार करना  Ans. Imagine
821. Appraise - आंकना, मूल्यांकन करना  Ans. Assess
822. Annul - रद्द, अमान्य  Ans. Invalidate
823. Mutant - परिवर्तित, विकृत  Ans. Deviant
824. Strenuous - ज़ोरदार, अत्यधिक उत्साही  Ans. Formidable
825. Hardship - कठिनाई  Ans. Tribulation
826. Devoid - रहित, वंचित  Ans. Lacking
827. Pertinent - उचित, योग्यता  Ans. Relevant
828. Perilous - जोखिम, खतरनाक  Ans. Hazardous
829. Replace - बदलना, प्रतिस्थापित करना  Ans. Substitute
830. Pragmatic - व्यवहारिक, व्यवहारमूलक  Ans. Realistic
831. Elegant - सुंदर, मनोहर  Ans. Graceful
832. Triumph - विजय, सफलता  Ans. Victory
833. Certain - निश्चित, निश्चित  Ans. Sure
834. Hamper - बाधा, प्रतिबंध करना  Ans. Block
835. Reckless - लापरवाह, असावधान  Ans. Careless
836. Split - विभाजित, खंडित  Ans. Divide
837. Distinguished - प्रतिष्ठित, प्रशंसित  Ans. Acclaimed
838. Lofty - ऊँचा, महान  Ans. Noble
839. Interfere - हस्तक्षेप, विरोध करना  Ans. Obstruct
840. Just - उचित, न्यायपूर्ण  Ans. Fair
841. Fragile - कमजोर, नाजुक  Ans. Frail
842. Disaster - आपदा, त्रासदी  Ans. Tragedy
843. Distinguished - विशिष्ट, प्रतिष्ठित  Ans. Honoured
844. Recapitulate - पुनरावलोकन करना, संक्षेप में दोहराना  Ans. Summarize
845. Jostle - धक्का, झटका  Ans. Shove
846. Release - मुक्त करना, त्यागना  Ans. Free
847. Condone - माफ करना, क्षमा करना  Ans. Forgive
848. Pious - धार्मिक, धर्मपरायण  Ans. Religious
849. Rejoice - आनंदित होना, प्रसन्न होना  Ans. Exult
850. Camouflage - छलावरण, मुखौटा  Ans. Mask
851. Lure - आकर्षण, लुभाव  Ans. Attraction
852. Chaos - अराजकता, अव्यवस्था  Ans. Disharmony
853. Reliable - स्थिर, भरोसेमंद  Ans. Stable
854. Blend - मिलाना, मिश्रण  Ans. Merge
855. Conflict - टकराव, संघर्ष  Ans. Battle
856. Detect - पता लगाना, भांपना  Ans. Discover
857. Defer - टालना, स्थगित करना  Ans. Postpone
858. Release - मुक्त करना, छोड़ना  Ans. Free
859. Morose - चिड़चिड़ा, उदास  Ans. Mournful
860. Conceit - घमंड  Ans. Vanity
861. Gloomy - उदास, विषादपूर्ण  Ans. Dull
862. Judicious - बुद्धिमान  Ans. Thoughtful
863. Sequestered - एकांत  Ans. Secluded
864. Inevitably - अनिवार्यतः  Ans. Certainly
865. Sentiment - भावना  Ans. Feeling
866. Visible - स्पष्ट, दर्शनीय  Ans. Apparent
867. Threat - खतरा, जोखिम  Ans. Risk
868. Submissive - विनम्र, आज्ञाकारी  Ans. Obedient
869. Recommend - अनुशंसा करना  Ans. Approve
870. Substitution - प्रतिस्थापन, अदला-बदली  Ans. Exchange
871. Imperial - साम्राज्य, शाही  Ans. Sovereign
872. Monotonous - नीरस, उबाऊ  Ans. Boring
Pinnacle Synonyms And Antonyms
----------------------------------------------------
873. Defy - अवहेलना, उपेक्षा करना  Ans. Disobey
874. Stun - भौंचक्का कर देना, आश्चर्यचकित  Ans. Shock
875. Cruel - निर्दयी, बर्बर  Ans. Brutal
876. Plead - निवेदन करना, आग्रह करना  Ans. Request
877. Enjoyable - सुखद, आनंदमय  Ans. Delightful
878. Defer - टालना, स्थगित करना  Ans. Postpone
879. Radical - कट्टरपंथी, अतिवादी  Ans. Profound
880. Competent - सक्षम, समर्पित  Ans. Capable
881. Lure - आकर्षण, लुभाव  Ans. Attraction
882. Supreme - सर्वोच्च, उत्तम  Ans. Matchless
883. Convert - परिवर्तन करना, बदलना  Ans. Transform
884. Similar - समान, समरूप  Ans. Alike
885. Appeal - आकर्षण, अपील  Ans. Charm
886. Marvellous - अद्भुत, शानदार  Ans. Wonderful
887. Choke - रोकना, बाधा  Ans. Block
888. Secure (verb) - सुरक्षा करना, रक्षा करना  Ans. Protect
889. Assist - सहायता देना, मदद करना  Ans. Aid
890. Humble - विनम्र, नर्म  Ans. Meek
891. Spurn - तिरस्कार करना, घृणा करना  Ans. Despise
892. Attract - आकर्षित करना, लुभाना  Ans. Entice
893. Deliberate - जानबूझकर, सोच-समझकर  Ans. Planned
894. Stray - बेघर, खानाबदोश  Ans. Homeless
895. Reliable - भरोसेमंद, विश्वासनीय  Ans. Trusted
896. Precarious - अनिश्चित, संदेहास्पद  Ans. Insecure
897. Noble - कुलीन, गौरवमय  Ans. Dignified
898. Amusing - मनोरंजक, हंसी-मज़ाक  Ans. Laughable
899. Hurdle - बाधा, रुकावट  Ans. Obstacle
900. Coincidence - संयोग, दैवयोग  Ans. Chance
901. Mirth - खुशी, आनंद  Ans. Delight
902. Estimate - आकलन, अनुमान लगाना  Ans. Assess
903. Perceive - समझना, देखना  Ans. Recognise
904. Amiable - मित्रवत, मिलनसार  Ans. Friendly
905. Immerse - डूबना, गोताखोरी करना  Ans. Submerge
906. Facility - सुविधा, सुगमता  Ans. Skill
907. Kinship - समानता, संबंध  Ans. Relationship
908. Restrain - रोकना, नियंत्रित करना  Ans. Control
909. Vital - महत्वपूर्ण, निर्णायक  Ans. Crucial
910. Lure - आकर्षण, लुभाव  Ans. Attraction
911. Desert - छोड़कर भाग जाना, परित्याग करना  Ans. Abandon
912. Mayhem - हाथापाई, अशांति  Ans. Chaos
913. Refuge - शरण, आश्रय  Ans. Shelter
914. Accurate - सटीक, सही  Ans. Exact
915. Rapid - तेज, त्वरित  Ans. Quick
916. Fare - किराया, भोग  Ans. Progress
917. Rift - दरार, फटना  Ans. Break
918. Brutal - बर्बर, निर्दयी  Ans. Cruel
919. Perforate - छेद करना, भेधना  Ans. Pierce
920. Maintain - परवरिश करना, देखभाल करना  Ans. Care
921. Compose - रचना, एकत्र करना  Ans. Collect
922. Wily - चतुर, चालाक  Ans. Crafty
923. Weary - थका हुआ, सुस्त  Ans. Tired
924. Rambling - लंबे-चौड़े, भ्रमण  Ans. Long-winded
925. Aroma - सुगंध, खुशबू  Ans. Fragrance
926. Reckless - लापरवाह, असावधान  Ans. Rash
927. Aggregate - कुल  Ans. Total
928. Erect - सीधा, उठाना  Ans. Raise
929. Eliminate - हटाना, निकालना  Ans. Exclude
930. Execute - लागू करना, क्रियान्वित करना  Ans. Implement
931. Scour - रगड़ कर साफ करना  Ans. Scrub
932. Turbulent - अशांत, हिंसात्मक  Ans. Violent
933. Absolutely - बिल्कुल, निश्चित रूप से  Ans. Definitely
934. Crust - पपड़ी, परत  Ans. Coating
Pinnacle Synonyms And Antonyms
----------------------------------------------------
935. Disgust - घृणा, अवहेलना  Ans. Dislike
936. Chaos - अराजकता, अशांति  Ans. Turmoil
937. Layout - व्यवस्था, नक्शा  Ans. Arrangement
938. Shuffle - मिलाना, फेर-बदल  Ans. Stagger
939. Cunning - धूर्त, चालाक  Ans. Shrewd
940. Bonanza - उपहार, अधिलाभ  Ans. Bonus
941. Hamper - बाधा, प्रतिबंध करना  Ans. Hinder
942. Promotion - उन्नति, उन्नयन  Ans. Elevation
943. Irregular - अनियमित, अस्थायी  Ans. Uneven
944. Gleam - चमकना, लुप्त होना  Ans. Shine
945. Regret - पछतावा करना, खेद  Ans. Repent
946. Keen - उत्सुक, इच्छुक  Ans. Eager
947. Toil - मेहनत, परिश्रम  Ans. Sweat
948. Opinion - राय, विचार  Ans. Idea
949. Venture - जोखिम उठाना, कार्य करना  Ans. Attempt
950. Investigate - छान-बीन करना, जांच करना  Ans. Examine
951. Level - स्तर, समतल  Ans. Flat
952. Adapt - अनुकूल बनाना, अनुकूल करना  Ans. Adjust
953. Concise - संक्षिप्त, संक्षेप  Ans. Short
954. Amalgam - मिश्रण, संलयन  Ans. Mixture
955. Choosy - तुनुकमिज़ाज, नकचढ़ा  Ans. Picky
956. Treacherous - विश्वासघाती, कपटी  Ans. Unfaithful
957. Achieve - प्राप्त करना, हासिल करना  Ans. Accomplish
958. Retrieve - पुनः प्राप्त करना, भूल सुधारना  Ans. Recover
959. Jubilation - आनंदोत्सव, खुशी  Ans. Rejoicing
960. Excerpt - उद्धरण, भाग  Ans. Extract
961. Adversary - विरोधी, प्रतिस्पर्धी  Ans. Opponent
962. Seize - पकड़ना, झपटना  Ans. Catch
963. Worth - मूल्य, लायक  Ans. Value
964. Sanction - मंजूरी, अनुमति  Ans. Permit
965. Eternal - शाश्वत, अनंत  Ans. Everlasting
966. Repel - पीछे हटाना, प्रतिरोध करना  Ans. Resist
967. Sturdy - मजबूत, बलवान  Ans. Tough
968. Steady - नियमित, स्थिर  Ans. Stable
969. Bargain - मोलभाव करना, सौदा  Ans. Deal
970. Common - सामान्य, आम  Ans. Usual
971. Reliable - विश्वसनीय, भरोसेमंद  Ans. Dependable
972. Cute - आकर्षक, सुंदर  Ans. Charming
973. Alter - बदलना, परिवर्तित करना  Ans. Transform
974. Recover - वापस पाना, वसूल करना  Ans. Regain
975. Remedial - उपचारात्मक, सुधारात्मक  Ans. Corrective
976. Sustain (V) - कायम रखना, समर्थन करना  Ans. Support
977. Sullen - गुस्से में, हठी  Ans. Grim
978. Disrupt - बाधित करना, भंग करना  Ans. Disturb
979. Coarse - खुरदुरा  Ans. Crude
980. Carnage - नरसंहार, कत्लेआम  Ans. Slaughter
981. Emblem - प्रतीक, चिह्न  Ans. Symbol
982. Huge - विशाल, बड़ा  Ans. Big
983. Batter - पीटना, मारना  Ans. Beat
984. Supporting - सहायक, समर्थन करने वाला  Ans. Agreeing
985. Deficient - अपर्याप्त, कम  Ans. Lacking
986. Stationary - स्थिर, अचल  Ans. Fixed
987. Hospitable - मेहमाननवाज, सुलभ  Ans. Congenial
988. Liberty - स्वतंत्रता, स्वाधीनता  Ans. Freedom
989. Forthright - स्पष्ट, ईमानदार  Ans. Outspoken
990. Hamper - बाधा, प्रतिबंध करना  Ans. Restrict
991. Consequence - परिणाम, नतीजा  Ans. Outcome
992. Commence - आरंभ, प्रारंभ  Ans. Initiate
993. Extract - निकालना, निष्कासित करना  Ans. Withdraw
994. Vulnerable - कमजोर, असुरक्षित  Ans. Exposed

Pinnacle Synonyms And Antonyms
----------------------------------------------------
997. Release - मुक्त करना, रिहा करना  Ans. Acquit
998. Tension - तनाव, खिंचाव  Ans. Strain
999. Scrawny - सूखा, दुबला-पतला  Ans. Skinny
1000. Conspicuous - विशिष्ट, सुस्पष्ट  Ans. Evident
1001. Grab - लपकना, पकड़ना  Ans. Seize
1002. Alleviate - कम करना, घटाना  Ans. Mitigate
1003. Deficiency - कमी, अभाव  Ans. Shortage
1004. Astonish - चौंकाना, आश्चर्यचकित करना  Ans. Surprise
1005. Delegate - प्रतिनिधि, मनोनीत  Ans. Nominate
1006. Protest - विरोध करना, विरोध  Ans. Object
1007. Indulgence - स्नेह, विलासिता  Ans. Leniency
1008. Lax - लापरवाह, असावधान  Ans. Negligent
1009. Tensile - लचीला  Ans. Stretchable
1010. Potent - शक्तिशाली, प्रभावकारी  Ans. Powerful
1011. Limpid - स्पष्ट, पारदर्शक  Ans. Lucid
1012. Baffle - चकरा देना, चकित करना  Ans. Perplex
1013. Outraged - उग्र, क्रोधित  Ans. Angry
1014. Fluorescent - चमकदार, दीप्तिमान  Ans. Glowing
1015. Graceful - सुशोभित, शोभायमान  Ans. Elegant
1016. Calm - शांत, अव्यक्त  Ans. Quiet
1017. Implore - याचना करना, विनती करना  Ans. Plead
1018. Iconic - उदाहरणात्मक, अनुकरणीय  Ans. Exemplary
1019. Fowl - पक्षी  Ans. Bird
1020. Plentiful - प्रचुर, भरपूर  Ans. Ample
1021. Royal - शाही, राजवंशी  Ans. Kingly
1022. Rely - भरोसा करना, विश्वास करना  Ans. Depend
1023. Vacant - खाली, रिक्त  Ans. Bare
1024. Appease - खुश करना, संतुष्ट करना  Ans. Pacify
1025. Stern - कठोर, निष्ठुर  Ans. Strict
1026. Provoke - उत्तेजित करना, कृत्रिम रूप से पैदा करना  Ans. Enrage
1027. Practical - व्यवहारिक, समझदार  Ans. Sensible
1028. Hardly - मुश्किल से, कष्ट से  Ans. Barely
1029. Smudge - धब्बा, दाग  Ans. Stain
1030. Priority - प्राथमिकता, प्रमुखता  Ans. Precedence
1031. Transparent - पारदर्शक, स्पष्ट  Ans. Clear
1032. Pollution - प्रदूषण, मैलापन  Ans. Contamination
1033. Rapturous - मनमौजी, उत्साहित  Ans. Delighted
1034. Pacify - शांत करना, संतोष करना  Ans. Soothe
1035. Symptomatic - रोगसूचक, लक्षणात्मक  Ans. Characteristic
1036. Rabid - उग्र, चरम  Ans. Extreme
1037. Interrogate - पूछताछ करना, जांच करना  Ans. Investigate
1038. Comprehend - समझना  Ans. Understand
1039. Yield - उपज, समर्पण करना  Ans. Submit
1040. Inexpensive - सस्ता, कम मूल्य का  Ans. Cheap
1041. Investigate - छानबीन करना, जांच करना  Ans. Search
1042. Aim - लक्ष्य  Ans. Purpose
1043. Alarm - चेतावनी, डर  Ans. Panic
1044. Agony - पीड़ा, कष्ट  Ans. Pain
1045. Dejected - निराश, उदास  Ans. Depressed
1046. Tremendous - विशाल, भयानक  Ans. Huge
1047. Regular - नियमित, सामान्य  Ans. Usual
1048. Concise - संक्षिप्त, संक्षेप  Ans. Brief
1049. Decrease - कमी, गिरावट  Ans. Decline
1050. Amiable - मिलनसार, मित्रवत  Ans. Friendly
1051. Conclude - समाप्त करना, निष्कर्ष निकालना  Ans. End
1052. Obstruction - बाधा, रोकावट  Ans. Hindrance
1053. Mimic - नकल करना, अनुकरण करना  Ans. Imitate
Q.1054. Magnanimous- उदार  Ans. Charitable
Q.1055. Proactive- असि‍य, उवाहित  Ans. Enthusiastic
Q.1056. Strenuous- कठोर, कठिन प्रयास  Ans. Difficult
Q.1057. Elegant- मनोहर, सुशोभित  Ans. Graceful
Q.1058. Abuse- गाली, दुर्वहार करना  Ans. Harm
Q.1059. Allow- अनुमित देना, स्वीकार करना  Ans. Permit
Q.1060. Exultation- उत्साह, उमंग  Ans. Jubilation
Q.1061. Retort- प्रतिउत्तर, जवाब देना  Ans. Reply
Q.1062. Enthrall- गुमान बनाना, दास बनाना  Ans. Enchant
Q.1063. Isolate- अलग करना, पृथक करना  Ans. Detach
Q.1064. Banish- निकाल देना  Ans. Exile
